Case Number,Date,Year,Sex,Type,Species,Country,Area,Location,Activity,Age,Fatal (Y/N),Time,Month
1949.12.00.a,,1949.0,M,Unprovoked,NURSE SHARK,AUSTRALIA,Victoria,Seaholme,OTHER,35.0,N,Unspecified,Dec
1949.11.20,1949-11-20,1949.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,"Kurnell, Botany Bay ",OTHER,36.0,N,afternoon,Nov
2010.06.06,2010-06-06,2010.0,M,Unprovoked,Unknown,AUSTRALIA,Western Australia,"Conspicuous Beach, near Walpole",SURFING,40.0,N,afternoon,Jun
1949.11.12,1949-11-12,1949.0,M,Unspecified,Unknown,AUSTRALIA,Victoria,Port Phillip Bay,OTHER,,Unknown,Unspecified,Nov
1949.08.28.a,1949-08-28,1949.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Yorkey’s Knob Beach near Cairns,SWIMMING,34.0,Y,afternoon,Aug
1949.08.16,1949-08-16,1949.0,M,Unprovoked,Unknown,AUSTRALIA,Tasmania,Flinders Island,OTHER,18.0,N,afternoon,Aug
1949.05.16,1949-05-16,1949.0,F,Unprovoked,WHALER SHARK,AUSTRALIA,Western Australia,Broome,BATHING,22.0,N,Unspecified,May
1949.05.13,1949-05-13,1949.0,M,Provoked,Unknown,AUSTRALIA,New South Wales,Nelson's Bay,OTHER,26.0,N,Unspecified,May
1949.04.18,1949-04-18,1949.0,M,Provoked,Unknown,AUSTRALIA,Queensland,"Nerang River, Southpot",FISHING,,N,Unspecified,Apr
1949.04.17,1949-04-17,1949.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,"Ellis Beach, 20 miles from Cairns",OTHER,13.0,Y,afternoon,Apr
1990.04.06,1990-04-06,1990.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Fingal Beach,SURFING,29.0,N,Unspecified,Apr
1942.00.00.j,,1942.0,M,Provoked,Unknown,AUSTRALIA,Tasmania,Off Big Friar Island,OTHER,,N,Unspecified,Unk
2010.08.08,2010-08-08,2010.0,M,Unprovoked,Unknown,AUSTRALIA,New South Wales,Crescent Head,SURFING,47.0,N,day-morning,Aug
1949.08.28.b,1949-08-28,1949.0,M,Unprovoked,Unknown,AUSTRALIA,Queensland,Yorkey’s Knob Beach near Cairns,SWIMMING,21.0,N,afternoon,Aug
